Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoFK,ShoPK,PKatt,PasTotAtt,PasTotCmp%,PasShoAtt,PasShoCmp%,PasMedAtt,PasMedCmp%,PasLonAtt,PasLonCmp%,Assists,PPA,CrsPA,PasProg,PasAtt,PasCrs,TI,CK,PasCmp,SCA,GCA,Tkl,TklWon,TklDri%,TklDriPast,BlkSh,Int,Clr,Touches,ToAtt,ToSuc,ToSuc%,ToTkl,Carries,CarProg,Car3rd,Rec,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,Recov,AerWon,AerLost,AerWon%
Junior Messias,BRA,FWDF,Milan,Serie A,31,1991,15,879,2,1.73,0.71,41.2,0.12,0,0,0,31.4,72.7,15.1,81.8,10.9,78.5,3.27,46.9,0.2,0.31,0.1,3.16,31.4,1.43,0.51,0,22.9,3.27,0.51,1.22,0.92,50,0.51,0.31,0.41,1.22,42.4,3.27,1.33,40.6,1.33,25.6,2.45,2.14,29.6,0.1,0,1.53,1.63,0.1,1.43,0.92,0,0,3.57,1.94,2.55,43.2
Thomas Meunier,BEL,DF,Dortmund,Bundesliga,31,1991,9,566,0,0.63,0,0,0,0,0,0,68.1,74.1,27.3,84.3,26.5,76,9.21,58.6,0,1.75,0.79,4.76,68.1,2.38,9.84,0,50.5,2.7,0,2.38,1.11,64.3,0.79,0.32,1.43,2.38,78.6,1.59,0.63,40,0.63,42.5,1.43,1.11,47.6,0.32,0,1.9,0.63,0.16,2.38,1.11,0,0,6.98,1.11,0.48,70
Alexander Meyer,GER,GK,Dortmund,Bundesliga,31,1991,4,360,0,0,0,0,0,0,0,0,49,89.3,9.25,97.3,23.5,100,15.8,71.4,0,0,0,0,49,0,0,0,43.8,0,0,0,0,0,0.25,0,0,0.25,50.5,0,0,0,0,34,0,0,27.8,0,0,0,0,0,0,0,0,0,2.75,0.25,0,100
Sven Michel,GER,FW,Union Berlin,Bundesliga,32,1990,13,264,3,2.07,0.69,33.3,0.33,0,0.34,0.34,35.9,52.9,16.2,68.1,7.24,57.1,4.14,33.3,0,1.03,0.34,1.72,35.9,4.14,0.34,0,19,1.72,0,1.72,0.69,75,0.34,0.34,0,0.69,49.3,1.38,0.34,25,1.03,24.8,1.38,1.03,36.2,0.69,0,2.41,0.69,0.69,4.14,0.69,0,0,5.52,5.17,6.21,45.5
Alexander Mighten,ENG,FW,Nott'ham Forest,Premier League,20,2002,1,8,0,0,0,0,0,0,0,0,10,100,10,100,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,10,0,0,0,40,30,0,0,20,40,0,0,40,0,0,0,10,0,0,0,0,0,0,0,0,0
Tommaso Milanese,ITA,MF,Cremonese,Serie A,20,2002,2,27,0,0,0,0,0,0,0,0,46.7,71.4,16.7,80,16.7,60,10,66.7,0,0,0,6.67,46.7,6.67,0,3.33,33.3,6.67,0,0,0,0,0,3.33,0,0,63.3,6.67,3.33,50,3.33,43.3,6.67,3.33,46.7,0,0,3.33,3.33,0,6.67,0,0,0,0,0,3.33,0
Nikola Milenkovic,SRB,DF,Fiorentina,Serie A,25,1997,16,1288,2,0.84,0.21,25,0.17,0,0,0,57.8,85.9,18.7,90.3,29.4,89.8,8.46,70.2,0.07,0.07,0,3.22,57.8,0,0.28,0,49.7,1.33,0.14,1.47,0.98,71.4,0.28,0.42,1.19,2.66,67.6,0,0,0,0,38.3,0.21,0.49,41,0.14,0,1.68,0.91,0,0,0.98,0,0,5.24,2.73,0.98,73.6
Arkadiusz Milik,POL,FW,Juventus,Serie A,28,1994,17,986,6,2.64,1.45,55.2,0.21,0.09,0,0,25.4,78.1,14,84.4,7.45,82.9,1.18,53.8,0.09,0.55,0,1.82,25.4,0.36,0,0,19.8,1.82,0.27,0.64,0.45,50,0.18,0,0,0.82,34.6,0.91,0.45,50,0.27,19.1,0.73,1,27.2,0.27,0.09,1.09,1.55,0.27,0.36,0.45,0,0,2.36,2,3.55,36.1
Arkadiusz Milik,POL,FW,Marseille,Ligue 1,28,1994,2,129,0,0.71,0,0,0,0,0,0,26.4,75.7,12.9,77.8,7.86,81.8,0,0,0,0,0,0.71,26.4,0,0,0,20,0,0,0.71,0.71,0,0.71,0,0,1.43,33.6,0.71,0,0,0.71,23.6,0.71,2.14,25.7,0.71,0,2.86,0.71,0.71,0,0.71,0,0,2.86,1.43,5,22.2
Luis Milla,ESP,MF,Getafe,La Liga,28,1994,14,1165,0,0.31,0.08,25,0,0,0,0,52.9,78,22.1,89.8,17.6,81.1,10.2,56.8,0,0.23,0.16,5.5,52.9,4.65,0,2.79,41.3,2.4,0,2.4,1.55,51.7,1.09,0,1.4,1.09,60.1,0.54,0.47,85.7,0.08,31.2,0.62,0.54,34.7,0.23,0.08,1.32,0.7,0.08,4.65,1.55,0,0.08,7.67,0.85,0.7,55
